Q Number,Q Type,Question,Answers,,,,
145,True/False,WCAG 2.1 is divided into 4 categories: Perceivable Operable Understandable Robust,TRUE,FALSE,,,TRUE
146,True/False,WCAG 2.1 Level AAA is the minimum level of conformance for all websites,TRUE,FALSE,,,FALSE
147,True/False,WCAG 2.1 Success Criteria can be measured in three conformance levels: A AA and AAA,TRUE,FALSE,,,TRUE
148,True/False,For a website to meet WCAG 2.1 AA it must meet both Level A and Level AA Criteria,TRUE,FALSE,,,TRUE
149,True/False,The WCAG guidelines are legally required by all countries,TRUE,FALSE,,,FALSE
150,True/False,Text that cannot be resized without assistive technology fails WCAG Level AA compliance,TRUE,FALSE,,,TRUE
151,True/False,Providing captions for live audio content is required to meet WCAG Level A,TRUE,FALSE,,,FALSE
152,True/False,WCAG 2.1 includes guidelines for both visual and auditory disabilities,TRUE,FALSE,,,TRUE
153,True/False,Web accessibility only applies to people with visual impairments,TRUE,FALSE,,,FALSE
154,True/False,Keyboard navigation is an important part of making a website accessible,TRUE,FALSE,,,TRUE
155,True/False,Accessible websites should avoid using flash content that could trigger seizures,TRUE,FALSE,,,TRUE
156,True/False,Alternative text for images is not required if the image is decorative,TRUE,FALSE,,,TRUE
157,True/False,ARIA (Accessible Rich Internet Applications) is a set of attributes that help make dynamic content more accessible,TRUE,FALSE,,,TRUE
158,True/False,Websites should not have any keyboard traps which means users cannot be trapped in a section using the keyboard.,TRUE,FALSE,,,TRUE
159,True/False,A skip navigation link is unnecessary if your website is accessible,TRUE,FALSE,,,FALSE
160,True/False,Descriptive headings and labels can enhance web accessibility,TRUE,FALSE,,,TRUE
161,True/False,Large font sizes can substitute for contrast in making text accessible,TRUE,FALSE,,,FALSE
162,True/False,Ensuring that all form elements have associated labels is important for web accessibility,TRUE,FALSE,,,TRUE
163,True/False,It is acceptable for links to be identified solely by color,TRUE,FALSE,,,FALSE
164,True/False,PDFs can be made accessible by adding proper tags and structure,TRUE,FALSE,,,TRUE
165,True/False,Testing your website with only one screen reader is enough to confirm accessibility,TRUE,FALSE,,,FALSE
166,True/False,Plain language is important for improving web accessibility for people with cognitive disabilities.,TRUE,FALSE,,,TRUE
167,True/False,A website’s color scheme has no impact on web accessibility,TRUE,FALSE,,,FALSE
168,True/False,Transcripts are required for prerecorded audio-only content to meet WCAG Level AA,TRUE,FALSE,,,TRUE
169,True/False,HTML5 has built-in accessibility features that help make websites more accessible,TRUE,FALSE,,,TRUE
170,True/False,The tab order of a web page is irrelevant for accessibility.,TRUE,FALSE,,,FALSE
171,True/False,Keyboard users should be able to activate all website functionality including interactive elements.,TRUE,FALSE,,,TRUE
172,True/False,Access keys are recommended for improving web accessibility.,TRUE,FALSE,,,FALSE
173,Image Question,HTML <table> elements should always include <caption> tags to describe the table’s purpose.,TRUE,FALSE,,,TRUE
174,True/False,"An empty alt attribute (alt="""") should be used for purely decorative images.",TRUE,FALSE,,,TRUE
175,True/False,The <label> element should always be associated with form controls like input fields,TRUE,FALSE,,,TRUE
176,True/False,HTML5 semantic elements like <header> <footer> and <article> help improve accessibility.,TRUE,FALSE,,,TRUE
177,True/False,The <iframe> element does not need a title attribute for accessibility.,TRUE,FALSE,,,FALSE
178,True/False,Using <strong> and <em> tags instead of <b> and <i> improves accessibility for screen readers.,TRUE,FALSE,,,TRUE
179,True/False,It is best practice to avoid using the tabindex attribute unless necessary.,TRUE,FALSE,,,TRUE
180,True/False,Heading tags (<h1> <h2> etc.) should always be used in a logical order to ensure accessibility,TRUE,FALSE,,,TRUE
181,True/False,HTML <input> elements for forms can be left without any type attributes.,TRUE,FALSE,,,FALSE
182,True/False,"The ARIA role ""alert"" is used to display urgent messages to assistive technologies.",TRUE,FALSE,,,TRUE
183,True/False,It is acceptable to use only ARIA roles and ignore native HTML semantics.,TRUE,FALSE,,,FALSE
184,True/False,The lang attribute on the <html> tag is important for accessibility.,TRUE,FALSE,,,TRUE
185,True/False,If a button only contains an icon (with no text) it should still have an accessible label.,TRUE,FALSE,,,TRUE
186,True/False,HTML headings should be styled visually without considering their semantic importance,TRUE,FALSE,,,FALSE
187,True/False,Using ARIA to label interactive elements is more effective than using native HTML labels.,TRUE,FALSE,,,FALSE
188,True/False,Anchor tags (<a>) without href attributes are accessible and usable.,TRUE,FALSE,,,FALSE
189,True/False,The <alt> attribute for images should be descriptive enough for users who cannot see the image.,TRUE,FALSE,,,TRUE
190,True/False,The title attribute is always a suitable replacement for the aria-label attribute on elements.,TRUE,FALSE,,,FALSE
191,True/False,WAI-ARIA roles and properties should only be used when native HTML does not suffice.,TRUE,FALSE,,,TRUE
192,True/False,"The following code provies an accessible label for the input field:
<label for=""email"">Email</label>
<input type=""email"" id=""email"" />",TRUE,FALSE,,,TRUE
193,True/False,"This code is an accessible way to add an image that doesn't need alternative text:
<img src=""decoration.jpg"" alt="""">",TRUE,FALSE,,,TRUE
194,True/False,"The following code will make the button accessible to screen readers:
<button aria-label=""Submit Form"">Submit</button>",TRUE,FALSE,,,FALSE
195,True/False,"This table code is fully accessible:
<table>
  <tr>
    <th>First Name</th>
    <th>Last Name</th>
  </tr>
  <tr>
    <td>John</td>
    <td>Doe</td>
  </tr>
</table>",TRUE,FALSE,,,FALSE
196,True/False,"The following code provides accessible navigation with ARIA landmarks:
<nav role=""navigation"">
  <ul>
    <li><a href=""#home"">Home</a></li>
    <li><a href=""#about"">About</a></li>
  </ul>
</nav>",TRUE,FALSE,,,TRUE
197,True/False,"This heading structure is semantically correct and accessible:
<h1>Main Title</h1>
<h2>Subtitle</h2>
<h3>Section Heading</h3>",TRUE,FALSE,,,TRUE
198,True/False,"The following form input code is accessible:
<input type=""checkbox"" aria-checked=""true"">",TRUE,FALSE,,,FALSE
199,True/False,"This HTML code properly uses ARIA to label an icon-only button:
<button aria-label=""Close"">
  <i class=""icon-close""></i>
</button>",TRUE,FALSE,,,TRUE
200,True/False,"This code will create an accessible alert using ARIA:
<div role=""alert"">Your session is about to expire!</div>",TRUE,FALSE,,,FALSE
201,True/False,To meet WCAG Level AA a website must have a contrast ratio of at least 3:1 for normal text.,TRUE,FALSE,,,FALSE
202,True/False,Failure to provide clear focus indicators on interactive elements such as buttons violates WCAG Level A.,TRUE,FALSE,,,TRUE
218,True/False,Red flashing elements are more dangerous than normal flashing elements,TRUE,FALSE,,,TRUE
219,True/False,Blinking and flashing content are the same,TRUE,FALSE,,,FALSE
220,True/False,Essential movement associated with page scrolling can cause vestibular reactions,TRUE,FALSE,,,FALSE
260,Image Question,What could be a possible accessibility issue in this image?,The language used could be complicated or confusing for readers,The page will not operate consistently,There are no possible issues,This site is not keyboard navigable,The language used could be complicated or confusing for readers
296,Image Question,What WCAG violations exist in the following image?,Meta refresh with a time-out used,Button element has no text in element,Div element is missing an alt attribute,Img element missing alt attribute,Meta refresh with a time-out used	Img element missing alt attribute
297,Image Question,What WCAG violations exist in the following image?,Em (emphasis) element used,P element contains unhelpful text,B (bold) element used,A (anchor) element uses image instead of text,B (bold) element used
298,Image Question,What WCAG violations exist in the following image?,Image used as anchor is missing alt text,H2 (header 2) element should be replaced with a p (paragraph) element instead,A (anchor) element is missing an alt attribute,,Image used as anchor is missing alt attribute
299,Image Question,What WCAG violations exist in the following image?,Contrast ratio is not sufficient,Header order is not logical,I (italic) element should be replaced with em (emphasis) element,Image used as anchor is missing alt attribute,Contrast ratio is not sufficient Header order is not logical I (italic) element should be replaced with em (emphasis) element Image used as anchor is missing alt attribute
300,Image Question,What WCAG violations exist in the following image?,Strong element should be replaced with b (bold) element,I (italic) element should be replaced with em (emphasis) element,Input element is missing a label,Img element is missing an alt attribute,I (italic) element should be replaced with em (emphasis) element Input element is missing a label
301,Image Question,What WCAG violations exist in the following image?,Image used as anchor has non descriptive alt text,Contrast ratio is not sufficient in some parts of page,I (italic) element should be replaced with em (emphasis) element,,Image used as anchor has non descriptive alt text Contrast ratio is not sufficient in some parts of page I (italic) element should be replaced with em (emphasis) element
302,Multiple Choice,What year was the first WCAG version released?,1999,1998,2005,2009,1999
303,Multiple Choice,What is WAVE?,An extension for VS Code,A screen reader,A digital music platform,A tool to check website accessibilty,A tool to check website accessibility
305,Image Question,How many people live with a disability according to the World Health Organization?,About 15%,About 30%,About 10%,Less than 5%,About 15%
306,Image Question,This is the top of the Uber website. What landmark should be used for the outlined section?,Head,Header,Nav,Top,Header
307,Image Question,This is the top of the Uber website. What landmark should be used for the outlined section?,Section,Area,Region,Nav,Nav
308,Image Question,This is the top of the Uber website. Clicking the logo takes the user to the site's home page. Should a <button> or <a> element be used for this?,<button>,<a>,Neither,Both,<a>
309,Image Question,This is a condensed view of the top of the Uber website. Clicking the hamburger menu should display more options for the user. Which element should be used for this?,<a>,<button>,<toggle>,<menu>,<button>
310,Image Question,"This is the Uber home page. The ""See Prices"" element has the following code. Is this accessible?

<a href=""https://m.uber.com/lprices"" class=""buttontopress"">See prices</a>",Yes this element is accessible,No the class indicates that this should be a button instead,No this should be a <link> element,,Yes this element is accessible
311,Multiple Choice,"Is the following code accessible? 

<button type=""button""
id=""menubutton""
aria-haspopup=""true""
aria-controls=""menu2""
aria-expanded=""false"">","No the button needs role=""button""","No the type should not be set to ""button""",Yes this element is accessible,"No the button needs role=""clickable""",Yes this element is accessible
312,Image Question,In this image you can see yellow text on a blue background. How can it be determined if this text is accessible?,Check the contrast ratio between the two colors,Compare the average value of the two colors,If the text in the image is the same text in an alt attribute for the image element,,If the text in the image is the same text in an alt attribute for the image element
313,Image Question,This image shows the Walgreens home page with the company's logo image in the top left corner. Is this logo image decorative?,No as it provides the company's logo to inform users of the site they're on and provides a link to go to the main page.,Yes as the user already knows what website they are on and the logo offers no new information,,,No as it provides the company's logo to inform users of the site they're on and provides a link to go to the main page.
314,Image Question,This image shows the Walgreens home page with the search bar at the top and a magnifying glass symbol in the far right side of the search bar. What alternative text would be best for this symbol?,Magnifying glass,No alternative text is needed,Start Search,Search,Search
315,Image Question,This is an image of a menu from the CVS website. What are potential accessibility issues in this image?,There are no accessibility issues in the image,The text size is too small,Red text on white background is not accessible to color blind users,Color alone is used to convey meaning,The text size is too small
316,Image Question,"In the following image from History.com is the first ""Squier"" link accessible?",Yes as it is colored blue to indicate it is a link,No as there is no underline to indicate that it is a link and it is not clear if it is a link or just colored text,Yes since it is just text that has been colored blue and is not a link,No as it is not clear if it is a link or just colored text,No as there is no underline to indicate that it is a link and it is not clear if it is a link or just colored text
317,Image Question,"In the following image from benefitscal.com the heading order is as follows:

<h3>View your Benefits details</h3>
<h4>Read electronic notices</h4>
<h4>Track statuses and reminders</h4>
<h5>Submit documents reports and renewals online</h5>

Is this heading order logical?",Yes as the headings are in order numerically,No as the heading order indicates that these have different levels of priority. They should all be the same heading level,,,No as the heading order indicates that these have different levels of priority. They should all be the same heading level
318,Multiple Choice,Which of the following is an important consideration for creating robust web content?,Valid HTML and CSS markup,Using bright colors for contrast,Reducing the number of images,Adding more JavaScript to improve interactivity,Valid HTML and CSS markup
